pool_address,pool_name,token0_address,token0_symbol,token0_decimals,token1_address,token1_symbol,token1_decimals,tvl_usd
0x484964b2147db26006f1d1d166523bc51b7e919c,WETH.e-BTCBR,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,WETH.e,18,0xb355f4f4cc84a9429a59d5c2b98d77016f7ec482,BTCBR,18,3.943436118
0x20db83f261dd78f656d47e49f6ba94d05acd9404,SUSHI.e-BSGG,0x37b608519f91f70f2eeb0e5ed9af4061722e4f76,SUSHI.e,18,0x63682bdc5f875e9bf69e201550658492c9763f89,BSGG,18,5.822400014
0xc94b2a34124adfe02b736263683278b63e0fed5b,BTCBR-DAI.e,0xb355f4f4cc84a9429a59d5c2b98d77016f7ec482,BTCBR,18,0xd586e7f844cea2f87f50152665bcbc2c279d8d70,DAI.e,18,3.148376873
0x5c64041545ea7b98f20712ccc8bcdcc6d9194705,WAVAX-BTCBR,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,0xb355f4f4cc84a9429a59d5c2b98d77016f7ec482,BTCBR,18,2.277567836
0x1b11ca267dbc990f728b0b17b3edbfd92e521b27,LOVE-WAVAX,0x5de95b9e4c2b0fcbc225c797b45a84c4f8499f1a,LOVE,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,2.398311919
0x900052a3cd0738c4a48c24777d5899afc4ae6614,WAVAX-LIRA,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,0xfd46f44a5ad3227a7325b695b6ea1aa549862309,LIRA,9,2.15123738
0x34371a41b4c236a17ed85689dced682037e69cf5,WAVAX-Rex,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,0xd48e5873db000e862cea4fd17a07162b9026ee4b,Rex,18,8.111681428
0xd312e3dbf9de7fa7e78bb54316f3c396b0793503,DAWE-WAVAX,0x8d4416fd511895227aa46e7bb655203bef3dcab4,DAWE,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,7.569750195
0x801074a7d13c007045443cd349b40a659dc3068c,WHA-WAVAX,0x53d6cb1396e8ba6d09c553409ccc34f98530d57f,WHA,10,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,13.42524215
0x4c55851a051f3ae6f6f327c18fe578e52c5c9cfe,#NAME?,0xa608d79c5f695c0d4c0e773a4938b57e18e0fc57,,6,0xc7198437980c041c805a1edcba50c1ce5db95118,USDT.e,6,2.444197372
0xe29fb1242098d3574aeb733ab0a4357b03b8230c,TURI-USDC.e,0x592eb2f978c71dbbb36ef5d3064a32206bd22a21,TURI,18,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,USDC.e,6,6.398557889
0x787be602db491e23b9c278673660bbed437f7898,ZERO-WAVAX,0x008e26068b3eb40b443d3ea88c1ff99b789c10f7,ZERO,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,1.672358037
0x4b1a5926c464343b470f1d0a297f1f415096fb5f,YSOT-WAVAX,0x8835f17f07214754bef9180756eeb7c6da116606,YSOT,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,6.514136807
0xa1708efd71e516a2d0ebd7ec8d877c02d4d2de6d,PNG-WAVAX,0x60781c2586d68229fde47564546784ab3faca982,PNG,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,1.76650492
0x3f309dd3d9b8448276f7ee768ae22a28d4b27e29,WAVAX-BRIDGE,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,0xc0367f9b1f84ca8de127226ac2a994ea4bf1e41b,BRIDGE,18,1.761145384
0x1ddcd23da377dcba6a3ee6a48b38c91163dc415d,LOB-WAVAX,0x9298753d77238d244bc0318bab9d774dea5238a4,LOB,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,4.680406647
0x7fc59de025072756f5c382b157110f94e960019a,WAVAX-CRACK,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,0xe9d00cbc5f02614d7281d742e6e815a47ce31107,CRACK,9,1.459462364
0x9501a14d772f1aa8aa4fdb042549fe7bef0fd319,wMEMO-SPELL,0x0da67235dd5787d67955420c84ca1cecd4e5bb3b,wMEMO,18,0xce1bffbd5374dac86a2893119683f4911a2f7814,SPELL,18,2.094880811
0x2ae44ebd41eb863da65b320ab7b8688c6f43c156,USDT.e-MINDAUGAS,0xc7198437980c041c805a1edcba50c1ce5db95118,USDT.e,6,0xcab9980aa9ea8a84f33f6ead1883db4d48d9e130,MINDAUGAS,18,4.968649669
0x509210daeca3fa714702becccba4dffacc8e7ef5,MIM-GRAPE,0x130966628846bfd36ff31a822705796e8cb8c18d,MIM,18,0x5541d83efad1f281571b343977648b75d95cdac2,GRAPE,18,0.980267136
0x21fa534b7c81ce348af5af8974509fff431078d4,GREEN-WAVAX,0x10a90575183e8d9c3cc09b684124c58e7c3aeeb0,GREEN,5,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,3.762361062
0x9bc78a8c926bbfb54f5d34bdb2f4f517e48b6e13,SAITAMA-WAVAX,0x061900514d805c1722be288c090985d29370972d,SAITAMA,9,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,18,1.209528636
0x5acc681537336c637a5cb063450f4e96391aaf85,SIPLEAN-DAI.e,0x64bc251b0eb9200948c9155573cd459c5e17c6a4,SIPLEAN,18,0xd586e7f844cea2f87f50152665bcbc2c279d8d70,DAI.e,18,1.101081637
0x96f08adde31aa73c0134f5647d6dcdaa19faac7d,WETH.e-USDT.e,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,WETH.e,18,0xc7198437980c041c805a1edcba50c1ce5db95118,USDT.e,6,2.076512167
